Question,Correct Answer,,
"A topologia de rede descreve o arranjo e a localização dos nós da rede e a maneira como eles estão conectados. Quando temos diversos dispositivos interconectados entre si, sem a utilização de equipamentos intermediários (por exemplo: hub, switch ou roteador), criamos uma relação de dependência, na qual cada nó é responsável pelo funcionamento do laço como um todo. Essa é a grande desvantagem desse arranjo. Sua maior vantagem, por outro lado, é que esse tipo de interligação não tem limite de distância, pois as estações de trabalho são conectadas em uma configuração de circuito fechado.Considerando as características do arranjo apontado no enunciado, é correto afirmar que estamos falando sobre a topologia:",Anel.,,
"Existe uma topologia que é a mais utilizada em redes locais de pequena abrangência. Nela, todos os dispositivos são conectados a equipamentos centralizadores denominados concentradores. Eles são responsáveis por definir a lógica como as informações se propagarão na rede. Sua maior desvantagem está nas distâncias atendidas, que se limitam ao tipo de mídia (cabo) utilizado. Tem também um custo considerável, pensando na quantidade de cabos necessária para cada nó conectado. A grande vantagem está no desempenho e na estabilidade, em que cada dispositivo é independente.A partir disso, com as principais topologias físicas em mente, é correto afirmar que estamos falando sobre a topologia:",Estrela.,,
"Os modos de transmissão estão muito associados ao tipo de receptor que possuímos. Exemplificando isso de uma forma simples: em um rádio AM/FM, as informações são apenas recebidas, não há uma possibilidade de conversação com o transmissor, somos apenas receptores. Em um walkie-talkie, temos a situação em que falamos e liberamos o botão para poder escutar, ou seja, em alguns momentos somos receptores e, em outros, transmissores, mas nunca ambos simultaneamente. Em um telefone, temos a situação em que podemos interagir diretamente, falando e escutando, ou seja, somos receptores e transmissores simultaneamente.Considerando essas informações e o conteúdo estudado, estamos tratando, respectivamente, de quais modos de transmissão?","Simplex, Half-duplex e Full-duplex.",,
"Uma forma de comunicação naval militar que era e ainda é muito utilizada é o código Morse. Ele é muito simples, por isso, em uma situação de comunicação limitada, no caso uma emergência, é muito útil como uma forma precária de transmissão, porém, é extremamente eficaz. Basicamente, um simples transmissor, que pode ser uma lâmpada, uma pedra batendo em uma chapa ou até mesmo a ação de ligar e desligar o dispositivo de forma a gerar um simples pulso já é mais que o suficiente para se comunicar. Sua base são traços e pontos, sinais longos e curtos, que, por meio de uma tabela, são codificados, representando símbolos e letras.Considerando essas informações e o conteúdo estudado, pode-se afirmar que estamos tratando de um tipo de sinal específico e de uma funcionalidade. Quais são, respectivamente?",Sinal digital e Criptografia.,,
"Como vimos, existem algumas formas de transmissão de dados entre duas máquinas. Sobre esse assunto, analise as afirmações a seguir e julgue-as como V (Verdadeira) e F (Falsa):I.  Uma forma de identificar como a transmissão acontece é o sentido da troca. II.  Existem modos de transmissão de dados com base no sentido da troca, por exemplo: criptografia e firewalls.III.  O tipo full-duplex permite a transmissão em ambas as direções em uma portadora de sinal ao mesmo tempo.Assinale a alternativa com a sequência correta.","V, F, V.",,
"Topologia vem do grego topos, ""lugar"", e logos, ""estudo"", ou seja, é um estudo do lugar. Em redes, esses lugares possuem formas e usos específicos, inclusive com equipamentos distintos. Para uma melhor otimização dos equipamentos e dos elementos de conectividade, nos primórdios das redes eram utilizados cabos principais, ou tronco, que compartilhavam a conexão com os demais clientes, ou hosts, por meio de cabos auxiliares que se conectavam diretamente a ele. Esses cabos “mordiam” o tronco de forma a acessar e compartilhar os recursos.Tendo em mente o que estudamos sobre as principais topologias físicas, sobre qual topologia estamos falando?",Barramento.,,
"De acordo com a abrangência, ou seja, a área geográfica atendida, temos tipos diferentes de redes. Elas podem ser distribuídas em áreas menores, conhecidas como locais, atendendo muitos usuários, a altas taxas de transmissão. Podem também ser distribuídas em áreas mais amplas, com o tamanho de uma cidade, por exemplo, atendendo um número maior ainda de usuários, porém com taxas menores. E, por fim, temos as redes de tamanho mundial, que atendem ao mundo todo, em taxas menores do que ambas as anteriores.Conforme o que falamos anteriormente e baseado nos conhecimentos adquiridos durante seus estudos, estamos tratando de quais tipos de redes, respectivamente?","LAN, MAN e WAN.",,
"Conhecido como modelo de fato, foi implementado junto com as primeiras redes conhecidas. Esse modelo foi desenvolvido em 1969 pelo Departamento de Defesa dos Estados Unidos, como recurso de comunicação da ARPANET, precursora da Internet. Seu protocolo base, o IP, é de ampla utilização desde o princípio até os dias atuais. É tratado por fato, pois é como hoje estão realmente implantadas as redes, não sendo meramente um modelo acadêmico. Suas 4 camadas (Aplicação, Transporte, Internet e Acesso a Rede) representam como funciona uma rede, sendo perceptível o funcionamento de cada uma delas. Conforme a definição apresentada e com base nos conhecimentos adquiridos anteriormente, estamos tratando de qual modelo?",Modelo TCP/IP.,,
"A transmissão de dados entre duas máquinas pode ser realizada de diferentes modos. Uma delas é por meio do sentido das trocas. Um modo é caracterizado pelo envio apenas de informações em uma única direção. Por exemplo: uma estação de rádio geralmente envia sinais para o público, mas nunca recebe sinais deles.Considerando essas informações e o conteúdo estudado, pode-se afirmar que o modo de transmissão de dados de que estamos falando é do tipo:",simplex.,,
