Question,Correct Answer
"Leia o trecho a seguir: “— A vantagem é a flexibilidade de acesso de qualquer lugar, inclusive por dispositivos móveis — diz Davidson Boccardo, diretor dos Green Hat Labs, pertencentes à Clavis Segurança da Informação. — A desvantagem é não ter certeza de como esses dados estão sendo protegidos, não saber que tipo de normas e gestão são empregadas pela empresa. ”Fonte: MACHADO, André. Guardados na ‘nuvem’, arquivos não se perdem. Disponível em: https://oglobo.globo.com/economia/tecnologia/guardados-na-nuvem-arquivos-nao-se-perdem-23232732. Acesso em: 23 Set. 2019.O trecho acima traz as vantagens e desvantagens do acesso de dados, inclusive por meio dos dispositivos móveis. Com base nessas informações e no conteúdo estudado, pode-se afirmar que o arquivamento permanente de dados está relacionado à:",integridade dos dados.
"Leia o trecho a seguir:“Essencialmente, a tecnologia celular divide áreas geográficas em células. Cada célula hospeda uma estação base, assim como uma torre com uma antena no topo. Dependendo da tecnologia, uma torre celular pode captar um sinal a até 40 quilômetros de distância.”Fonte: ESTES, Adam Clark. Como começou essa história de transmitir informações sem fio. Disponível em: https://gizmodo.uol.com.br/como-comecou-essa-historia-de-transmitir-informacoes-sem-fio/. Acesso em: 23 Set. 2019.O trecho acima apresenta as vantagens que a tecnologia celular pode oferecer. A partir dessas informações e do conteúdo estudado, é possível afirmar que a estação-base é:",uma estação fixada em um sistema de rádio móvel para comunicação por rádio com estações móveis.
"Leia o trecho a seguir:“É muito comum acessar um site no celular e descobrir que o texto aparece muito pequeno, os links, minúsculos, e o conteúdo impossível de visualizar a contento sem precisar rolar a tela na horizontal. Esses são sinais de que o site não é compatível com dispositivos móveis, o que pode levar a uma experiência frustrante. A nova iniciativa educativa do Google visa a ajudar os usuários a descobrir com antecedência quais sites oferecem uma boa experiência de navegação em dispositivos móveis.”Fonte: TEIXEIRA, Carlos Alberto. Google faz campanha para webmasters adequarem seus sites a dispositivos móveis.  Disponível em: https://oglobo.globo.com/economia/google-faz-campanha-para-webmasters-adequarem-seus-sites-dispositivos-moveis-14804387 Acesso em: 23 Set. 2019.O trecho acima apresenta sugestões para que os sites consigam adaptar as suas páginas para os dispositivos móveis e facilitar a utilização por parte dos usuários. Considerando essas informações e o conteúdo estudado sobre os aspectos mais comuns do usuário de dispositivos móveis, analise as afirmativas a seguir e assinale V para a (s) verdadeira (s) e F para a (s) falsa (s):I. ( ) O tamanho e a força do usuário pouco influencia no nível de interação com o dispositivo móvel.II. ( ) A flexibilidade e destreza são aspectos relacionados ao ambiente onde o dispositivo móvel está inserido. III. ( ) A falta de conhecimento do usuário é algo que vai de encontro aos princípios dos dispositivos móveis, que são a usabilidade e simplicidade.IV. ( ) Os dispositivos móveis apresentam um nível de transportabilidade extremamente fácil à mão. Agora, assinale a alternativa que apresenta a sequência correta:","F, F, V, V."
"Leia o trecho abaixo: “Do executivo ao catador de recicláveis: muita gente já não consegue viver sem aplicativos. Eraldo Francisco, de 50 anos, conseguiu dobrar a sua renda e trabalhar menos usando o app Cataki, que indica onde há material reciclável.” Fonte: ESPECIAIS G1. Tudo num clique: a vida na era dos apps. Disponível em: http://especiais.g1.globo.com/economia/tecnologia/a-vida-na-era-dos-apps/. Acesso em: 23 set. 2019.Esse trecho refere-se à importância dos aplicativos no cotidiano das pessoas, o que representa uma evolução tecnológica no uso dos dispositivos móveis. A partir dessas informações e do conteúdo estudado a respeito da introdução dos dispositivos móveis podemos afirmar que para a evolução dos dispositivos móveis ocorrer leva-se em consideração o fato:","de que no período em que os mainframes foram utilizados, entre os anos 60 e 80, o acesso era feito por meio de terminais de tamanhos e pesos elevados."
"“A forma de configurar o gerenciamento avançado dos dispositivos Android e iOS é diferente. Nos dispositivos Android, é necessário ativar o Gerenciamento de aplicativos Android e, nos iOS, é preciso configurar um Apple Push Certificate. Os usuários com dispositivos Android e iOS precisam instalar o aplicativo Device Policy ou um perfil para que você possa gerenciá-los. ”Fonte: GOOGLE. Configurar o Gerenciamento avançado de dispositivos móveis: Sobre o Gerenciamento avançado de dispositivos móveis Disponível em: https://support.google.com/a/answer/6328699?hl=pt-BR. . Acesso em: 23 Set. 2019.O trecho acima trata das formas distintas em que é realizado o gerenciamento dos dispositivos móveis. Assim, considerando as informações apresentadas e os conteúdos estudados, analise o conjunto de recursos às empresas oferecidos pelo MDM a seguir e associe-os com suas respectivas características.1. Configuração Centralizada dos Dispositivos2. Medidas de Segurança dos Aparelhos3. Criptografia 4. Limpeza e Bloqueio de Dispositivos( ) Atua contra as possíveis ameaças sistêmicas, como os malwares, ou algum aplicativo classificado como mal-intencionados;( ) São realizados remotamente, auxiliando em situações de perda ou roubo de aparelhos.( ) É realizada nos dados e eleva o nível de confidencialidade e privacidade destes recursos. ( ) Não leva em consideração possíveis diferenças entre os sistemas operacionais adotados. Agora, assinale a alternativa que apresenta a sequência correta:","2, 4, 3, 1"
"Leia o trecho a seguir:“Sem muito alarde, uma nova transformação começou a acontecer neste ano com o lançamento de smartphones com telas que podem ser dobradas ao meio. É como se a pessoa tivesse dois celulares, colocados um sobre o outro. Quando abertos na horizontal, eles formam uma única tela grande, que tem quase o tamanho de um tablet. Fechados, eles podem ser usados com uma mão só e cabem no bolso, como um celular qualquer.”Fonte: AGRELA, Lucas. Tela maior e dobrável é a aposta do momento nos smartphones. Disponível em https://exame.abril.com.br/revista-exame/tela-maior-e-dobravel/. Acesso em: 23 Set.. 2019.O trecho acima trata das evoluções físicas dos smartphones ao longo dos anos e as suas características atuais. Considerando essas informações e o conteúdo estudado, podemos afirmar que os dispositivos móveis disponibilizam uma série de características físicas relacionadas, dentre outros aspectos, ao:","modelo do Computador, Nível de Mobilidade e flexibilidade."
"Leia o trecho a seguir: “A tecnologia é uma aliada das PME’s. Ao integrar soluções móveis, o pequeno empresário capacita seus colaboradores a entregar os melhores resultados. Se um funcionário atua o dia inteiro fora da sede, por exemplo, na captação de clientes, em reuniões com fornecedores ou na equipe de vendas, ele precisa ter seus equipamentos integrados ao sistema operacional da empresa para cumprir suas tarefas com excelência e rapidez ”Fonte: GLOBO.COM. Convergência entre dispositivos móveis: por que adotar na pequena empresa? Disponível em: https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/especial-publicitario/dell/noticia/convergencia-entre-dispositivos-moveis-por-que-adotar-na-pequena-empresa.ghtml Acesso em: 23. Set. 2019.O trecho acima trata da importação dos dispositivos móveis na solução de problemas ligados às pequenas empresas. Assim, considerando os conteúdos, analise as afirmativas a seguir sobre as soluções mais importantes para o desenvolvimento de aplicações de dispositivos portáteis e móveis: I - O ADOBE AIR é definido como uma plataforma para o desenvolvimento e execução de aplicativos construídos em HTML, por exemplo, independente do ambiente computacional.  II - O BlackBerry é um aplicativo focado no mercado público onde a sua construção pode ser realizada em linguagem Java.III - Symbian consiste em um sistema operacional privado (NOKIA) desenvolvido para smartphones.  IV - Windows Phone é um sistema operacional criado pela Google e possibilita o desenvolvimento de aplicações com linguagens Python.Está correto apenas o que se afirma em:",I e III.
"Leia o trecho a seguir:“Normalmente, os sistemas de paging são usadas para notificar um assinante da necessidade de ligar determinado número de telefone ou viajar para uma local conhecido para receber mais instruções. O sistema de paging transmite a página para a área de serviço usando estações-base que enviam a página em uma portadora de rádio.”Fonte: RAPPAPORT, Theodore S. Comunicações Sem Fio: Princípios e Práticas. 2ª edição. São Paulo. Pearson Prentice Hall, 2009. Página 7.Considerando as informações apresentadas e os conteúdos estudados, é possível afirmar que os sistemas de Paging:","são sistemas de comunicação que enviam mensagens curtas, a um determinado assinante, de forma numérica, alfanumérica ou voz."
"Leia o trecho a seguir:“A solução criada compartilha, de forma criptografada, informações de dispositivos móveis, como smartphones e tablet’s, usados em transações bancárias. Assim, se um celular de um usuário for roubado, por exemplo, basta comunicar ao banco e, por meio do blockchain, rapidamente a informação do roubo será espalhada para que as outras instituições tenham conhecimento do fato e o dispositivo não seja utilizado maliciosamente.”Fonte: FAUSTINO, Rafael. Febraban cria solução em Blockchain para verificar segurança de dispositivos móveis.  Disponível em: https://epocanegocios.globo.com/Tecnologia/noticia/2018/06/febraban-cria-solucao-em-blockchain-para-verificar-seguranca-de-dispositivos-moveis.html. Acesso em: 23 Set. 2019.O trecho acima traz algumas das soluções adotadas para oferecer mais segurança aos dados disponíveis nos dispositivos móveis. A partir dessas informações e do conteúdo estudado a respeito, é possível definir que o uso de um dispositivo móvel requer, dentre outros aspectos:",a instalação de um programa Antivírus e um Sistema Operacional Atualizado.
"Leia o trecho abaixo:“O eSIM oferece uma experiência em transmissão digital aos usuários, vindo para gerenciar a conectividade celular para empresas. A equipe de TI estará apta a fornecer, implantar e gerenciar a conectividade celular mediante provedores de Gerenciamento de Dispositivos Móveis (MDM) como o Intune da Microsoft.”Fonte: TERRA. Idemia faz parceria com Microsoft a fim de facilitar o Gerenciamento E-sim para Dispositivos com Windows 10. Disponível em https://www.terra.com.br/noticias/dino/idemia-faz-parceria-com-microsoft-a-fim-de-facilitar-o-gerenciamento-esim-para-dispositivos-com-windows-10-enterprise,a20672feaba3abcc0f28063d1ed2c690npcqrkyh.html. Acesso em: 23 Set. 2019.O trecho acima trata da parceria firmada da IDEMIA com a Microsoft visando facilitar o Gerenciamento de Dispositivos Móveis. Considerando essas informações e o conteúdo estudado, é possível afirmar que o MDM é:","um plano de ação feito pelas organizações visando, dentre outros aspectos, a celeridade na implantação de recursos de segurança dos dispositivos móveis."
